model_id,task_id,contrast,metric,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,a_correct_b_wrong,a_wrong_b_correct,discordant_pairs,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
chatglm3-6b,qa_v4_5,3-0,recoverable_accuracy,100,50,27.0,32.0,-4.999999999999999,-10.0,0.0,0.125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,6,7,10000,,1.0,False,22,main_qa_v4_5_primary_22
deepseek-llm-7b-chat,classification,1-0,accuracy,100,100,36.0,26.0,9.999999999999998,-1.0000000000000009,21.000000000000004,0.12144948495551944,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,22,12,34,10000,,1.0,False,22,main_classification_primary_22
deepseek-llm-7b-chat,classification,3-0,accuracy,100,100,32.0,26.0,6.0,-4.999999999999999,17.0,0.361594608053565,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,18,12,30,10000,,1.0,False,22,main_classification_primary_22
deepseek-llm-7b-chat,reasoning,1-0,judgment_accuracy,100,100,97.0,98.0,-1.0000000000000009,-5.000000000000004,3.0000000000000027,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,2,3,5,10000,,1.0,False,22,main_reasoning_primary_22
deepseek-llm-7b-chat,reasoning,3-0,judgment_accuracy,100,100,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.5,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,2,0,2,10000,,1.0,False,22,main_reasoning_primary_22
deepseek-llm-7b-chat,structuring,1-0,cnhi_v2,100,100,79.0706850235019,70.53466310647893,8.536021917022962,5.176494624059897,12.488486913546968,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
deepseek-llm-7b-chat,structuring,3-0,cnhi_v2,100,100,76.17882413560928,70.53466310647893,5.644161029130346,0.2920858147878213,10.999657746542688,0.03849615038496151,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.30796920307969206,False,22,main_structuring_primary_22
deepseek-llm-7b-chat,relationship,1-0,micro_f1,50,50,36.06194690265487,1.66270783847981,34.399239064175056,25.23756325577635,44.23575024621016,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
deepseek-llm-7b-chat,relationship,3-0,micro_f1,50,50,50.602409638554214,1.66270783847981,48.9397018000744,39.18382702028067,60.227891398417064,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
deepseek-llm-7b-chat,qa_v4_5,1-0,recoverable_accuracy,100,50,25.0,35.0,-9.999999999999998,-25.0,6.0,0.22880554123435617,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,23,33,56,10000,,1.0,False,22,main_qa_v4_5_primary_22
deepseek-llm-7b-chat,qa_v4_5,3-0,recoverable_accuracy,100,50,24.0,35.0,-10.999999999999998,-23.0,1.0000000000000009,0.15240777196147803,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,19,30,49,10000,,1.0,False,22,main_qa_v4_5_primary_22
DeepSeek-R1-Distill-Qwen-32B,classification,1-0,accuracy,100,100,53.0,69.0,-15.999999999999993,-26.999999999999996,-5.999999999999995,0.0070003666914999485,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,8,24,32,10000,,0.14700770052149892,False,22,main_classification_primary_22
DeepSeek-R1-Distill-Qwen-32B,classification,3-0,accuracy,100,100,52.0,69.0,-16.999999999999993,-29.000000000000004,-4.999999999999993,0.011507789735333063,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,12,29,41,10000,,0.2186480049713282,False,22,main_classification_primary_22
DeepSeek-R1-Distill-Qwen-32B,reasoning,1-0,judgment_accuracy,100,100,98.0,99.0,-1.0000000000000009,-5.000000000000004,2.0000000000000018,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,2,3,10000,,1.0,False,22,main_reasoning_primary_22
DeepSeek-R1-Distill-Qwen-32B,reasoning,3-0,judgment_accuracy,100,100,100.0,99.0,1.0000000000000009,0.0,3.0000000000000027,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,0,1,10000,,1.0,False,22,main_reasoning_primary_22
DeepSeek-R1-Distill-Qwen-32B,structuring,1-0,cnhi_v2,100,100,75.67075080146861,65.66662073680403,10.004130064664574,3.715185055516321,16.65166246163489,0.0028997100289971,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.028997100289971,True,22,main_structuring_primary_22
DeepSeek-R1-Distill-Qwen-32B,structuring,3-0,cnhi_v2,100,100,75.80945167715436,65.66662073680403,10.142830940350322,2.872533843749765,17.605466486809604,0.009099090090990901,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.08189181081891811,False,22,main_structuring_primary_22
DeepSeek-R1-Distill-Qwen-32B,relationship,1-0,micro_f1,50,50,97.32620320855615,91.38920780711825,5.936995401437894,0.1858771090688314,12.037267528893821,0.0496950304969503,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.138986101389861,False,22,main_relationship_primary_22
DeepSeek-R1-Distill-Qwen-32B,relationship,3-0,micro_f1,50,50,97.19222462203024,91.38920780711825,5.8030168149119765,0.8394770081149087,11.333270188626434,0.029597040295970403,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.138986101389861,False,22,main_relationship_primary_22
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,1-0,recoverable_accuracy,100,50,87.0,90.0,-3.0000000000000027,-8.999999999999996,3.0000000000000027,0.5078125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,3,6,9,10000,,1.0,False,22,main_qa_v4_5_primary_22
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,3-0,recoverable_accuracy,100,50,89.0,90.0,-1.0000000000000009,-6.999999999999995,5.000000000000004,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,4,5,9,10000,,1.0,False,22,main_qa_v4_5_primary_22
glm-4-9b-chat,classification,1-0,accuracy,100,100,66.0,65.0,1.0000000000000009,-5.000000000000004,7.000000000000006,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,5,4,9,10000,,1.0,False,22,main_classification_primary_22
glm-4-9b-chat,classification,3-0,accuracy,100,100,69.0,65.0,3.9999999999999925,-2.0000000000000018,10.999999999999998,0.3876953125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,8,4,12,10000,,1.0,False,22,main_classification_primary_22
glm-4-9b-chat,reasoning,1-0,judgment_accuracy,100,100,91.0,95.0,-3.9999999999999925,-7.9999999999999964,-0.9999999999999898,0.125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,0,4,4,10000,,1.0,False,22,main_reasoning_primary_22
glm-4-9b-chat,reasoning,3-0,judgment_accuracy,100,100,95.0,95.0,0.0,-3.0000000000000027,2.9999999999999916,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,1,2,10000,,1.0,False,22,main_reasoning_primary_22
glm-4-9b-chat,structuring,1-0,cnhi_v2,100,100,80.50092385857984,73.2214551641585,7.279468694421343,3.8612580343667267,11.347572588479537,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
glm-4-9b-chat,structuring,3-0,cnhi_v2,100,100,80.65331425506719,73.2214551641585,7.431859090908688,3.9824872600358807,11.463614734175417,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
glm-4-9b-chat,relationship,1-0,micro_f1,50,50,77.89232531500573,33.24742268041237,44.64490263459336,35.652753824662994,53.4893994503103,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
glm-4-9b-chat,relationship,3-0,micro_f1,50,50,73.08132875143184,33.24742268041237,39.83390607101947,30.92481077870193,48.389245219449414,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
glm-4-9b-chat,qa_v4_5,1-0,recoverable_accuracy,100,50,80.0,74.0,6.000000000000005,-1.0000000000000009,13.0,0.1795654296875,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,10,4,14,10000,,1.0,False,22,main_qa_v4_5_primary_22
glm-4-9b-chat,qa_v4_5,3-0,recoverable_accuracy,100,50,80.0,74.0,6.000000000000005,0.0,13.0,0.14599609375,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,9,3,12,10000,,1.0,False,22,main_qa_v4_5_primary_22
internlm2_5-7b-chat,classification,1-0,accuracy,100,100,64.0,62.0,2.0000000000000018,-6.999999999999995,10.999999999999998,0.8238029479980469,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,11,9,20,10000,,1.0,False,22,main_classification_primary_22
internlm2_5-7b-chat,classification,3-0,accuracy,100,100,63.0,62.0,1.0000000000000009,-7.000000000000006,9.000000000000007,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,9,8,17,10000,,1.0,False,22,main_classification_primary_22
internlm2_5-7b-chat,reasoning,1-0,judgment_accuracy,100,100,88.0,88.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,1,2,10000,,1.0,False,22,main_reasoning_primary_22
internlm2_5-7b-chat,reasoning,3-0,judgment_accuracy,100,100,95.0,88.0,6.999999999999995,2.0000000000000018,12.99999999999999,0.015625,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,7,0,7,10000,,0.296875,False,22,main_reasoning_primary_22
internlm2_5-7b-chat,structuring,1-0,cnhi_v2,100,100,81.16713096000908,40.45849316805694,40.70863779195213,32.95327227665707,48.48474693586329,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
internlm2_5-7b-chat,structuring,3-0,cnhi_v2,100,100,80.86633766231158,40.45849316805694,40.40784449425464,32.795360183878934,48.20343383456947,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
internlm2_5-7b-chat,relationship,1-0,micro_f1,50,50,82.3943661971831,19.31216931216931,63.082196885013786,53.17199535840611,71.89850060209612,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
internlm2_5-7b-chat,relationship,3-0,micro_f1,50,50,78.2716049382716,19.31216931216931,58.959435626102284,50.67331526184675,66.8697632156261,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
internlm2_5-7b-chat,qa_v4_5,1-0,recoverable_accuracy,100,50,83.0,87.0,-4.0000000000000036,-9.000000000000007,0.0,0.125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,0,4,4,10000,,1.0,False,22,main_qa_v4_5_primary_22
