model_id,task_id,contrast,metric,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
Doubao,continuation,1-0,dual_llm_weighted_total,24,24,87.41458333333334,86.30833333333334,1.1062500000000086,-0.9791927083333527,3.362526041666678,0.34466553344665535,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.34466553344665535,False,22,generation_continuation_22
Doubao,continuation,3-0,dual_llm_weighted_total,24,24,89.33125,86.30833333333334,3.022916666666664,1.337473958333325,4.935494791666679,0.0006999300069993001,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0034996500349965005,True,22,generation_continuation_22
Mistral-7B-Instruct-v0.3,story_generation,1-0,dual_llm_weighted_total,24,24,50.78645833333334,50.007291666666674,0.7791666666666641,-5.750442708333327,6.745859375,0.818018198180182,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
Mistral-7B-Instruct-v0.3,story_generation,3-0,dual_llm_weighted_total,24,24,43.535416666666656,50.007291666666674,-6.471875000000021,-12.724114583333341,-0.3280468750000078,0.05449455054494551,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.7084291570842915,False,22,generation_story_generation_22
Mistral-7B-Instruct-v0.3,rewriting,1-0,dual_llm_weighted_total,24,24,50.64166666666669,45.23333333333334,5.408333333333343,0.1937499999999981,10.472968749999993,0.0560943905609439,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.6731326867313269,False,22,generation_rewriting_22
Mistral-7B-Instruct-v0.3,rewriting,3-0,dual_llm_weighted_total,24,24,48.56041666666666,45.23333333333334,3.327083333333319,-3.150052083333336,9.13130208333333,0.32366763323667636,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
Mistral-7B-Instruct-v0.3,continuation,1-0,dual_llm_weighted_total,24,24,63.04791666666667,44.78437500000001,18.26354166666666,14.830208333333339,21.563723958333338,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
Mistral-7B-Instruct-v0.3,continuation,3-0,dual_llm_weighted_total,24,24,64.946875,44.78437500000001,20.162499999999994,16.292630208333346,24.00109375,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
QwQ-32B,story_generation,1-0,dual_llm_weighted_total,24,24,85.95416666666668,85.1354166666667,0.8187499999999792,-1.3448177083333341,2.859479166666662,0.47355264473552644,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
QwQ-32B,story_generation,3-0,dual_llm_weighted_total,24,24,86.653125,85.1354166666667,1.5177083333333008,-0.07091145833333139,3.303177083333328,0.0999900009999,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
