scope,task_id,n,pearson_r,pearson_p,spearman_rho,spearman_p,icc_A_1,mae,rmse,mean_bias_gpt_minus_kimi
all_12_configurations,ALL,3600,0.7317536937190675,0.0,0.740639435153374,0.0,0.7008505746250817,10.645027777777779,13.335393851201646,4.701194444444445
all_12_configurations,story_generation,1200,0.7019205813499612,9.407156823762062e-179,0.7297043322757164,5.199011703555526e-200,0.6399487135992028,11.713625,14.568396946244063,7.2222083333333345
all_12_configurations,rewriting,1200,0.7721547731487652,3.576684052473008e-238,0.7509446899544572,3.8735156352742306e-218,0.6106498133427388,11.1815,13.496012374031078,9.865333333333334
all_12_configurations,continuation,1200,0.8050877275308697,5.161110554827738e-274,0.77385540542425,7.12969587380692e-240,0.7939779239950946,9.039958333333333,11.794814450285628,-2.9839583333333333
primary_11_configurations,ALL,3300,0.7569584094505274,0.0,0.763480543753052,0.0,0.716724919434058,10.464954545454548,13.057820685727235,5.452409090909091
primary_11_configurations,story_generation,1100,0.7307867898558142,2.729177313863679e-184,0.7601577988515744,7.714967449909244e-208,0.6477921942899679,11.844954545454547,14.625089354816389,8.312227272727274
primary_11_configurations,rewriting,1100,0.7777707045705308,1.164485164347169e-223,0.7614524517310236,5.907458219646872e-209,0.6191788420408549,11.235454545454546,13.53658611454024,9.859636363636364
primary_11_configurations,continuation,1100,0.8368526653464224,1.3865519416848106e-289,0.8076312020441079,4.143100619553621e-254,0.832760787291129,8.314454545454547,10.695215795349382,-1.8146363636363636
