model_id,task_id,contrast,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,p_holm,significant_holm_0_05,holm_family_size
Baichuan2-7B-Chat,classification,1-0,COMPUTED,100,100,28.999999999999996,13.0,15.999999999999998,5.000000000000002,26.0,0.007799220077992201,10000,0.6239376062393761,False,120
Baichuan2-7B-Chat,classification,3-0,COMPUTED,100,100,26.0,13.0,13.0,3.0,23.0,0.021897810218978103,10000,1.0,False,120
Baichuan2-7B-Chat,reasoning,1-0,COMPUTED,100,100,85.0,99.0,-14.000000000000002,-20.999999999999996,-7.9999999999999964,0.00019998000199980003,10000,0.018398160183981604,True,120
Baichuan2-7B-Chat,reasoning,3-0,COMPUTED,100,100,92.0,99.0,-6.999999999999995,-12.0,-2.0000000000000018,0.018198180181981802,10000,1.0,False,120
Baichuan2-7B-Chat,structuring,1-0,COMPUTED,100,100,80.0683145051949,72.04549648823057,8.02281801696434,4.70526418269806,11.909437911262806,9.999000099990002e-05,10000,0.011998800119988003,True,120
Baichuan2-7B-Chat,structuring,3-0,COMPUTED,100,100,79.67905697979003,72.04549648823057,7.633560491559466,4.207967777210515,11.608378739187913,9.999000099990002e-05,10000,0.011998800119988003,True,120
Baichuan2-7B-Chat,relationship,1-0,COMPUTED,50,50,49.914529914529915,22.2,27.71452991452992,15.983261055734351,39.40617553900782,9.999000099990002e-05,10000,0.011998800119988003,True,120
Baichuan2-7B-Chat,relationship,3-0,COMPUTED,50,50,50.92511013215859,22.2,28.725110132158594,15.646441709201556,42.26824161669644,9.999000099990002e-05,10000,0.011998800119988003,True,120
Baichuan2-7B-Chat,qa_v4_5,1-0,COMPUTED,100,50,25.0,26.0,-1.0000000000000009,-3.0000000000000027,0.0,1.0,10000,1.0,False,120
Baichuan2-7B-Chat,qa_v4_5,3-0,COMPUTED,100,50,25.0,26.0,-1.0000000000000009,-3.0000000000000027,0.0,1.0,10000,1.0,False,120
deepseek-llm-7b-chat,classification,1-0,COMPUTED,100,100,36.0,26.0,9.999999999999998,-1.0000000000000009,21.000000000000004,0.12208779122087791,10000,1.0,False,120
deepseek-llm-7b-chat,classification,3-0,COMPUTED,100,100,32.0,26.0,6.0,-4.999999999999999,17.0,0.36396360363963604,10000,1.0,False,120
deepseek-llm-7b-chat,reasoning,1-0,COMPUTED,100,100,97.0,98.0,-1.0000000000000009,-5.000000000000004,3.0000000000000027,1.0,10000,1.0,False,120
deepseek-llm-7b-chat,reasoning,3-0,COMPUTED,100,100,100.0,98.0,2.0000000000000018,0.0,5.000000000000004,0.5046495350464953,10000,1.0,False,120
deepseek-llm-7b-chat,structuring,1-0,COMPUTED,100,100,79.07068502350191,70.53466310647894,8.536021917022962,5.191256485904998,12.473009836088476,9.999000099990002e-05,10000,0.011998800119988003,True,120
deepseek-llm-7b-chat,structuring,3-0,COMPUTED,100,100,76.17882413560928,70.53466310647894,5.644161029130334,0.37154236341710545,11.094424550127764,0.0397960203979602,10000,1.0,False,120
deepseek-llm-7b-chat,relationship,1-0,COMPUTED,50,50,36.06194690265487,1.66270783847981,34.399239064175056,25.55505475791285,44.19986547445648,9.999000099990002e-05,10000,0.011998800119988003,True,120
deepseek-llm-7b-chat,relationship,3-0,COMPUTED,50,50,50.602409638554214,1.66270783847981,48.9397018000744,38.954218224054266,59.916507593886436,9.999000099990002e-05,10000,0.011998800119988003,True,120
deepseek-llm-7b-chat,qa_v4_5,1-0,COMPUTED,100,50,25.0,35.0,-9.999999999999998,-26.0,6.0,0.266973302669733,10000,1.0,False,120
deepseek-llm-7b-chat,qa_v4_5,3-0,COMPUTED,100,50,24.0,35.0,-10.999999999999998,-23.0,1.9999999999999962,0.12768723127687232,10000,1.0,False,120
glm-4-9b-chat,classification,1-0,COMPUTED,100,100,66.0,65.0,1.0000000000000009,-5.000000000000004,7.000000000000006,1.0,10000,1.0,False,120
glm-4-9b-chat,classification,3-0,COMPUTED,100,100,69.0,65.0,3.9999999999999925,-2.9999999999999916,10.999999999999998,0.3835616438356164,10000,1.0,False,120
glm-4-9b-chat,reasoning,1-0,COMPUTED,100,100,91.0,95.0,-3.9999999999999925,-7.9999999999999964,-0.9999999999999898,0.12968703129687031,10000,1.0,False,120
glm-4-9b-chat,reasoning,3-0,COMPUTED,100,100,95.0,95.0,0.0,-2.9999999999999916,2.9999999999999916,1.0,10000,1.0,False,120
glm-4-9b-chat,structuring,1-0,COMPUTED,100,100,80.50092385857982,73.22145516415853,7.279468694421299,3.8856317209380715,11.382352242652793,9.999000099990002e-05,10000,0.011998800119988003,True,120
glm-4-9b-chat,structuring,3-0,COMPUTED,100,100,80.65331425506714,73.22145516415853,7.431859090908621,4.001140555760317,11.424537333740094,9.999000099990002e-05,10000,0.011998800119988003,True,120
glm-4-9b-chat,relationship,1-0,COMPUTED,50,50,77.89232531500573,33.24742268041237,44.64490263459336,35.625913732733174,53.38458624695568,9.999000099990002e-05,10000,0.011998800119988003,True,120
glm-4-9b-chat,relationship,3-0,COMPUTED,50,50,73.08132875143184,33.24742268041237,39.83390607101947,30.825578985477588,48.30966080960008,9.999000099990002e-05,10000,0.011998800119988003,True,120
glm-4-9b-chat,qa_v4_5,1-0,COMPUTED,100,50,80.0,74.0,6.000000000000005,-1.0000000000000009,13.0,0.18448155184481552,10000,1.0,False,120
glm-4-9b-chat,qa_v4_5,3-0,COMPUTED,100,50,80.0,74.0,6.000000000000005,-1.0000000000000009,13.0,0.14778522147785222,10000,1.0,False,120
internlm2_5-7b-chat,classification,1-0,COMPUTED,100,100,64.0,62.0,2.0000000000000018,-6.999999999999995,10.999999999999998,0.825017498250175,10000,1.0,False,120
internlm2_5-7b-chat,classification,3-0,COMPUTED,100,100,63.0,62.0,1.0000000000000009,-7.000000000000006,8.999999999999996,1.0,10000,1.0,False,120
internlm2_5-7b-chat,reasoning,1-0,COMPUTED,100,100,88.0,88.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,10000,1.0,False,120
internlm2_5-7b-chat,reasoning,3-0,COMPUTED,100,100,95.0,88.0,6.999999999999995,2.0000000000000018,12.0,0.016798320167983202,10000,1.0,False,120
internlm2_5-7b-chat,structuring,1-0,COMPUTED,100,100,81.16713096000908,40.45849316805695,40.70863779195212,33.04502084544666,48.687278166711046,9.999000099990002e-05,10000,0.011998800119988003,True,120
internlm2_5-7b-chat,structuring,3-0,COMPUTED,100,100,80.8663376623116,40.45849316805695,40.40784449425465,32.74907255424978,48.280747576042984,9.999000099990002e-05,10000,0.011998800119988003,True,120
internlm2_5-7b-chat,relationship,1-0,COMPUTED,50,50,82.3943661971831,19.31216931216931,63.082196885013786,53.28787052060465,72.0503311008575,9.999000099990002e-05,10000,0.011998800119988003,True,120
internlm2_5-7b-chat,relationship,3-0,COMPUTED,50,50,78.2716049382716,19.31216931216931,58.959435626102284,50.6458945083709,67.12193679277158,9.999000099990002e-05,10000,0.011998800119988003,True,120
internlm2_5-7b-chat,qa_v4_5,1-0,COMPUTED,100,50,83.0,87.0,-4.0000000000000036,-8.999999999999996,0.0,0.24867513248675133,10000,1.0,False,120
internlm2_5-7b-chat,qa_v4_5,3-0,COMPUTED,100,50,86.0,87.0,-1.0000000000000009,-4.0000000000000036,2.0000000000000018,1.0,10000,1.0,False,120
chatglm3-6b,classification,1-0,COMPUTED,100,100,28.000000000000004,15.0,13.000000000000004,2.9999999999999973,24.0,0.031996800319968,10000,1.0,False,120
chatglm3-6b,classification,3-0,COMPUTED,100,100,26.0,15.0,11.000000000000002,1.9999999999999991,20.0,0.0344965503449655,10000,1.0,False,120
chatglm3-6b,reasoning,1-0,COMPUTED,100,100,88.0,74.0,14.000000000000002,4.0000000000000036,24.0,0.0103989601039896,10000,0.8111188881111888,False,120
chatglm3-6b,reasoning,3-0,COMPUTED,100,100,95.0,74.0,20.999999999999996,11.00000000000001,30.999999999999993,0.00019998000199980003,10000,0.018398160183981604,True,120
chatglm3-6b,structuring,1-0,COMPUTED,100,100,72.72617113560484,68.79165494929151,3.9345161863133304,-1.8313088154175787,9.596168208731468,0.18288171182881713,10000,1.0,False,120
chatglm3-6b,structuring,3-0,COMPUTED,100,100,72.29265508710529,68.79165494929151,3.50100013781377,-0.8623637372361678,7.774938021024857,0.11388861113888611,10000,1.0,False,120
