model_id,task_id,condition_id,semantic_policy,primary_judge,status,n_outputs,n_items,n_clusters,score_100,ci95_low_100,ci95_high_100,resamples,strict_format_rate,recoverable_parse_rate,budget_cap_rate,final_delivered_rate,mean_output_han_chars,SC_recoverable_100,SC_ci95_low_100,SC_ci95_high_100,SA_field_100,SA_ci95_low_100,SA_ci95_high_100,field_completeness_100,positional_three_line_recovery_rate,semantic_missing,CNHI_definition,label_coverage_100,SA_100,strict_schema_rate,CNHI_missing_score_bound_low_100,CNHI_missing_score_bound_high_100
QwQ-32B,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,79.97335913931792,77.31230430646906,81.90949380407172,10000,0.12,0.98,0.0,1.0,73.55,98.0,95.0,100.0,68.06916862726212,66.16188497493664,69.54571078519027,98.66666666666669,0.7,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.06916862726212,0.12,79.97335913931792,79.97335913931792
QwQ-32B,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.8637920732743,81.1435599097293,82.57335358585384,10000,0.03,1.0,0.0,1.0,65.8,100.0,100.0,100.0,69.46259729067484,68.40472898930311,70.50274723296364,100.0,0.49,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,69.46259729067484,0.03,81.8637920732743,81.8637920732743
QwQ-32B,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.66121870015145,79.64463254397923,83.02345124903724,10000,0.12,0.99,0.0,1.0,66.32,99.0,97.0,100.0,69.64884447058041,67.74297571778295,71.15161244968573,99.0,0.39,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,69.64884447058041,0.12,81.66121870015145,81.66121870015145
Qwen2.5-7B-Instruct,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,55.12451168309413,48.10454072259395,61.83977613443831,10000,0.41,0.71,0.0,1.0,76.03,71.0,62.0,80.0,56.36107174555461,53.40852584540844,59.08527419616778,87.66666666666666,0.28,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,56.36107174555461,0.41,55.12451168309413,55.12451168309413
Qwen2.5-7B-Instruct,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.02526878730869,77.97145673339865,81.49108752490606,10000,0.99,0.99,0.0,1.0,73.31,99.0,97.0,100.0,67.35960560043654,65.42266469200453,68.94866579398511,99.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.35960560043654,0.99,80.02526878730869,80.02526878730869
Qwen2.5-7B-Instruct,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.82981673354759,80.0122905825253,81.63064763603884,10000,1.0,1.0,0.0,1.0,73.06,100.0,100.0,100.0,68.0349386036396,66.90075497205059,69.20129044602315,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.0349386036396,1.0,80.82981673354759,80.82981673354759
Qwen3-8B-NonThinking,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.18841690073693,78.17816353780923,81.52591055124623,10000,0.0,0.99,0.0,1.0,71.4,99.0,97.0,100.0,67.71537949641545,66.21622155606745,68.95924648791552,99.33333333333334,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.71537949641545,0.0,80.18841690073693,80.18841690073693
Qwen3-8B-NonThinking,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.90144143339218,80.1562767521283,81.63579883693305,10000,0.0,1.0,0.0,1.0,64.22,100.0,100.0,100.0,68.09973994890848,67.03754313563304,69.16640755111972,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.09973994890848,0.0,80.90144143339218,80.90144143339218
Qwen3-8B-NonThinking,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.03700810008586,80.29568959375098,81.77535691602286,10000,0.01,1.0,0.0,1.0,67.88,100.0,100.0,100.0,68.29303819934526,67.23959848483405,69.3827638939023,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.29303819934526,0.01,81.03700810008586,81.03700810008586
Qwen3-8B-Thinking,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,78.26953504019455,75.20945258507284,80.67605158579228,10000,0.0,0.97,0.0,1.0,71.81,97.0,93.0,100.0,65.96410901347797,63.447519665459794,67.99741304690639,97.33333333333334,0.05,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,65.96410901347797,0.0,78.26953504019455,78.26953504019455
Qwen3-8B-Thinking,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.50212047909987,80.69374837901387,82.32404572442202,10000,0.04,1.0,0.0,1.0,64.6,100.0,100.0,100.0,68.98103153705596,67.82391842032472,70.09779592901468,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.98103153705596,0.04,81.50212047909987,81.50212047909987
Qwen3-8B-Thinking,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.59527512713838,80.83143038191822,82.3420972447797,10000,0.07,1.0,0.0,1.0,63.6,100.0,100.0,100.0,69.0879289706548,68.02208997905255,70.15622324123979,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,69.0879289706548,0.07,81.59527512713838,81.59527512713838
chatglm3-6b,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,68.79165494929151,64.76838989145807,72.26575125008196,10000,0.67,0.93,0.0,1.0,73.97,93.0,88.0,97.0,57.1680350204309,55.333845695108174,58.79202370122075,97.00000000000001,0.01,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,57.1680350204309,0.67,68.79165494929151,68.79165494929151
chatglm3-6b,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,72.72617113560484,68.5217746589215,76.32548875217078,10000,0.93,0.93,0.0,1.0,64.19,93.0,88.0,98.0,62.493210623661675,60.818485567470404,64.11008951390784,97.66666666666669,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,62.493210623661675,0.93,72.72617113560484,72.72617113560484
chatglm3-6b,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,72.29265508710529,67.95096762945685,76.01087552862013,10000,0.92,0.93,0.0,1.0,71.78,93.0,88.0,97.02499999999962,62.300499627987534,60.81806131228805,63.736571830759445,97.66666666666669,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,62.300499627987534,0.92,72.29265508710529,72.29265508710529
deepseek-llm-7b-chat,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,70.53466310647894,66.37764155549903,74.08457556898027,10000,0.62,0.93,0.01,1.0,66.86,93.0,88.0,97.0,58.276875813802086,55.441048502425346,60.65981061160565,95.00000000000001,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,58.276875813802086,0.62,70.53466310647894,70.53466310647894
deepseek-llm-7b-chat,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,79.07068502350191,77.13837767611203,80.40532021547584,10000,0.99,0.99,0.0,1.0,60.35,99.0,97.0,100.0,66.34596813718478,65.18973736663659,67.4756278142333,99.66666666666669,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,66.34596813718478,0.99,79.07068502350191,79.07068502350191
deepseek-llm-7b-chat,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,76.17882413560928,72.40947374257023,79.33076131948962,10000,0.94,0.95,0.0,1.0,66.42,95.0,90.0,99.0,65.78440388043722,64.15913747896751,67.25593477338553,98.33333333333331,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,65.78440388043722,0.94,76.17882413560928,76.17882413560928
glm-4-9b-chat,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,73.22145516415853,69.21407500214059,76.69116713254712,10000,0.24,0.94,0.0,1.0,110.47,94.0,89.0,98.0,60.627223153909036,57.352132448305696,63.34818984866142,94.66666666666669,0.06,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,60.627223153909036,0.24,73.22145516415853,73.22145516415853
glm-4-9b-chat,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.50092385857982,79.62710856274714,81.41191063522895,10000,1.0,1.0,0.0,1.0,67.13,100.0,100.0,100.0,67.6104693909486,66.38242853606741,68.92527569656572,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.6104693909486,1.0,80.50092385857982,80.50092385857982
glm-4-9b-chat,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.65331425506714,79.84545928787969,81.49900663655913,10000,1.0,1.0,0.0,1.0,68.3,100.0,100.0,100.0,67.80205109715463,66.6446674498419,69.05513494660457,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,67.80205109715463,1.0,80.65331425506714,80.65331425506714
internlm2_5-7b-chat,structuring,0shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,40.45849316805695,32.650796854997,48.22294613716891,10000,0.31,0.51,0.0,1.0,101.78,51.0,41.0,61.0,45.10107424855232,40.002969199667376,50.19310575996835,67.99999999999999,0.03,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,45.10107424855232,0.31,40.45849316805695,40.45849316805695
internlm2_5-7b-chat,structuring,1shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,81.16713096000908,80.5195886935423,81.82966443903484,10000,1.0,1.0,0.0,1.0,92.26,100.0,100.0,100.0,68.44102180997531,67.5143712542951,69.4054969911774,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.44102180997531,1.0,81.16713096000908,81.16713096000908
internlm2_5-7b-chat,structuring,3shot,CNHI_METHODS_V2_FIELD_BERTSCORE,DUAL_AGENT_MEAN,COMPUTED,100,100,100,80.8663376623116,80.1083323401236,81.63830042048006,10000,1.0,1.0,0.0,1.0,89.7,100.0,100.0,100.0,68.06287930409114,66.97678644806146,69.18798036674659,100.0,0.0,0,"mean_i H(binary recoverable SC_i, mean_field_BERTScoreF1_i)",,68.06287930409114,1.0,80.8663376623116,80.8663376623116
